# EUR golden projections: key, offset, identity, common, economy/tiers/settings, extra hex, cells. See findings/dba.md.
215	3292	STR_GRAPHICS_JUNGLE_RIDES_BOUNCY_BOUNCY	3,0,197,3,3,4,255,1,0,0,1,3,2,0,40,160	0,4,4,5,5,100,1,100,10,60,0,0,500,0,4,4,3,7,100,1,100,10,60,1,150,150,0,4,4,2,9,100,1,100,10,60,1,150,250	01474159	-1:0:0:0:0:1,-1:2:2:0:0:1,-1:1:1:0:0:1,-1:3:3:0:0:1,-1:2:2:0:0:1,-1:1:1:0:0:1,-1:3:3:0:0:1,-1:0:0:0:0:1,-1:1:1:0:0:1,-1:3:3:0:0:1,-1:0:0:0:0:1,-1:2:2:0:0:1
217	3824	STR_GRAPHICS_JUNGLE_RIDES_COASTER1_COASTER1	1,0,75,2,4,3,255,0,0,0,1,0,0,0,90,180	0,4,4,5,18,100,1,100,1,1,1,1250,10000,0,4,4,3,24,100,1,100,1,1,2,750,5000,0,4,4,2,30,100,1,100,1,1,3,750,2000	00000100010001008C008C001000000080000000640004DD	-1:0:0:0:0:1,-1:8:0:0:1:1,-1:0:0:0:0:1,-1:2:2:0:0:1,-1:3:3:0:0:1,-1:2:2:0:0:1
220	4592	STR_GRAPHICS_JUNGLE_RIDES_GOKARTS_GOKARTS	6,0,194,4,4,4,255,1,0,0,2,0,0,7,80,232	0,4,4,5,8,100,1,100,1,10,1,1250,2500,0,4,4,3,8,100,1,100,1,10,2,200,500,0,4,4,2,8,100,1,100,1,10,3,300,750	00000000010000000000000004000000230000000100000001000000000000000100000002000000030000000400000005000000060000000700000008000000090000000A00000000000000	-1:0:0:0:0:1,-1:0:0:0:0:1,-1:0:0:0:0:1,-1:0:0:0:0:1,-1:0:0:0:0:1,-1:0:0:0:0:1,-1:0:0:0:0:1,-1:0:0:0:0:1,-1:0:0:0:0:1,-1:0:0:0:0:1,-1:0:0:0:0:1,-1:0:0:0:0:1,-1:0:0:0:0:1,-1:0:0:0:0:1,-1:0:0:0:0:1,-1:0:0:0:0:1
232	7828	STR_GRAPHICS_JUNGLE_RIDES_TOURRIDE_TOURRIDE	7,0,146,3,3,3,255,1,0,0,1,2,2,0,70,184	4,4,4,7,8,80,80,100,1,10,3,550,3000,4,4,4,7,8,80,80,110,1,10,3,300,350,4,4,4,7,8,80,80,125,1,10,3,400,450	01000000010000000000000000000000000000001E00000009000000	-1:1:1:0:0:1,-1:2:2:0:0:1,-1:2:2:0:0:1,-1:0:0:0:0:1,-1:0:0:0:0:1,-1:2:2:0:0:1,-1:0:0:0:0:1,-1:0:0:0:0:1,-1:3:3:0:0:1
236	8920	STR_GRAPHICS_JUNGLE_UPGRADES_LAVAJUMP_LAVAJUMP	8,0,929,4,3,4,255,-1,-1,0,-1,-1,0,0,0,16	750,500,2	0C000000	-1:0:0:0:0:1,-1:1:1:0:0:1,-1:1:1:0:0:1,-1:0:0:0:0:1,-1:1:1:0:0:1,-1:0:0:0:0:1,-1:0:0:0:0:1,-1:0:0:0:0:1,-1:0:0:0:0:1,-1:1:1:0:0:1,-1:1:1:0:0:1,-1:0:0:0:0:1,-1:0:0:0:0:1,-1:0:0:0:0:1,-1:1:1:0:0:1,-1:0:0:0:0:1
239	9256	STR_GRAPHICS_JUNGLE_SHOPS_BALLOON_BALLOON	4,0,403,3,4,3,255,1,0,0,-1,-1,0,0,0,24	750,200,2,45,30,3,0,0,0,10,0,0,0	2D001E00030000000A000000	-1:0:0:0:0:1,-1:2:2:0:0:1,-1:1:1:0:0:1,-1:3:3:0:0:1,-1:0:0:0:0:1,-1:1:1:0:0:1,-1:3:3:0:0:1,-1:2:2:0:0:1,-1:2:2:0:0:1
245	9748	STR_GRAPHICS_JUNGLE_SHOPS_ICECREAM_ICECREAM	4,0,1069,2,3,2,255,0,0,0,-1,-1,0,0,0,24	200,150,1,30,20,4,0,25,5,5,0,10,0	1E0014000400190505000A00	-1:10:2:0:1:1,-1:10:2:0:1:1,-1:2:2:0:0:1,-1:2:2:0:0:1
247	9912	STR_GRAPHICS_JUNGLE_SIDESHOW_ARC2X3_ARC2X3	5,0,562,3,3,2,255,1,0,0,-1,-1,0,0,0,20	1750,0,0,10,30,33	0A001E0021FA4300	-1:0:0:0:0:1,-1:2:2:0:0:1,-1:0:0:0:0:1,-1:0:0:0:0:1,-1:0:0:0:0:1,-1:0:0:0:0:1
178	10656	STR_GRAPHICS_JUNGLE_FEATURES_BUSHIII_BUSHIII	2,0,189,1,1,1,255,-1,-1,0,-1,-1,0,0,0,16	100,100,1,0	30FE0000	-1:0:0:0:0:1
198	12012	STR_GRAPHICS_JUNGLE_FEATURES_PELBIN_PELBIN	2,0,582,1,1,1,255,-1,-1,0,-1,-1,0,0,0,16	100,0,0,4	30FE0400	-1:0:0:0:0:1
151	18948	STR_GRAPHICS_HALLOW_SHOPS_ICES_ICES	4,0,246,2,3,2,255,1,0,0,-1,-1,0,0,0,24	200,0,0,30,20,4,0,25,5,5,0,10,0	1E0014000400190505000A00	-1:0:0:0:0:1,-1:10:2:0:1:1,-1:3:3:0:0:1,-1:2:2:0:0:1
69	27868	STR_GRAPHICS_FANTASY_SHOPS_ICECREAM_ICECREAM	4,0,685,2,2,2,255,0,0,0,-1,-1,0,0,0,24	200,150,1,30,20,4,0,25,5,5,0,10,0	1E0014000400190505000A00	-1:0:0:0:0:1,-1:1:1:0:0:1,-1:10:2:0:1:1,-1:2:2:0:0:1
